Sample ID	Array ID	Cell Line/Patient ID	
GSM76543	GSM76543	Kidney - 21772	
GSM76544	GSM76544	Prostate - 21773	
GSM76545	GSM76545	Breast - 21949	
GSM76546	GSM76546	Rectosigmoid - 21951	
GSM76547	GSM76547	Omentum - 21955	
GSM76548	GSM76548	Colon - 21957	
GSM76549	GSM76549	Thyroid - 21958	
GSM76550	GSM76550	Appendix - 22206	
GSM76551	GSM76551	Kidney - 28971	
GSM76552	GSM76552	Breast - 31570	
GSM76553	GSM76553	Prostate - 31573	
GSM76554	GSM76554	Ovary - 31574	
GSM76555	GSM76555	Colon - 31575	
GSM76556	GSM76556	Breast - 31577	
GSM76557	GSM76557	Parotid Gland - 31580	
GSM76558	GSM76558	Kidney - 31581	
GSM76559	GSM76559	Renal Pelvis - 31585	
GSM76560	GSM76560	Breast - 31586	
GSM76561	GSM76561	Breast - 31588	
GSM76562	GSM76562	Stomach - 31589	
GSM76563	GSM76563	Breast - 31593	
GSM76564	GSM76564	Breast - 31883	
GSM76565	GSM76565	Rectosigmoid - 33791	
GSM76566	GSM76566	Breast - 33792	
GSM76567	GSM76567	Ovary - 33793	
GSM76568	GSM76568	Kidney - 33794	
GSM76569	GSM76569	Pelvic mass - 33795	
GSM76570	GSM76570	Kidney - 33798	
GSM76571	GSM76571	Rectum - 36310	
GSM76572	GSM76572	Lung - 36311	
GSM76573	GSM76573	Colon - 36314	
GSM76574	GSM76574	Lung - 36318	
GSM76575	GSM76575	Rectum - 36320	
GSM76576	GSM76576	Colon - 36327	
GSM76577	GSM76577	Kidney - 36328	
GSM76578	GSM76578	Corpus Uteri - 3759	
GSM76579	GSM76579	Renal Pelvis - 38211	
GSM76580	GSM76580	Kidney - 38213	
GSM76581	GSM76581	Ovary - 4191	
GSM76582	GSM76582	Breast - 4222	
GSM76583	GSM76583	Colon - 4333	
GSM76584	GSM76584	Peritoneum - 4439	
GSM76585	GSM76585	Lung - 4449	
GSM76586	GSM76586	Breast - 4450	
GSM76587	GSM76587	Lung - 4455	
GSM76588	GSM76588	Brain - 4457	
GSM76590	GSM76590	Lung - 45125	
GSM76591	GSM76591	Kidney - 45127	
GSM76592	GSM76592	Breast - 4910	
GSM76593	GSM76593	Breast - 4914	
GSM76594	GSM76594	Lung - 5131	
GSM76595	GSM76595	Lung - 5132	
GSM76596	GSM76596	Ovary - 5229	
GSM76597	GSM76597	Pelvic Mass - 5236	
GSM76598	GSM76598	Colon - 53951	
GSM76599	GSM76599	Ovary - 53954	
GSM76600	GSM76600	Ureter - 53955	
GSM76601	GSM76601	Ovary - 53957	
GSM76602	GSM76602	Kidney - 53960	
GSM76603	GSM76603	Breast - 53962	
GSM76604	GSM76604	Ovary - 53963	
GSM76605	GSM76605	Colon - 54070	
GSM76606	GSM76606	Kidney - 54071	
GSM76607	GSM76607	Colon - 54077	
GSM76608	GSM76608	Colon - 54078	
GSM76609	GSM76609	Cervix - 58990	
GSM76610	GSM76610	Colon - 58991	
GSM76611	GSM76611	Colon - 58992	
GSM76612	GSM76612	Thyroid - 58999	
GSM76613	GSM76613	Breast - 59000	
GSM76614	GSM76614	Cervix - 59002	
GSM76615	GSM76615	Colon - 59003	
GSM76616	GSM76616	Omentum - 6292	
GSM76617	GSM76617	Colon - 6293	
GSM76618	GSM76618	Colon - 6295	
GSM76619	GSM76619	Breast - 6300	
GSM76620	GSM76620	Bone & Cartilage - 6304	
GSM76621	GSM76621	Lung - 6305	
GSM76622	GSM76622	Brain - 6312	
GSM76623	GSM76623	Ovary - 6515	
GSM76624	GSM76624	Vagina - 6517	
GSM76625	GSM76625	Abdominal wall mass - 6519	
GSM76626	GSM76626	Kidney - 6891	
GSM76627	GSM76627	Breast - 6894	
GSM76628	GSM76628	Breast - 6898	
GSM76629	GSM76629	Colon - 6910	
GSM76630	GSM76630	Lung - 6991	
GSM76631	GSM76631	Head of Pancreas - 7000	
GSM76632	GSM76632	Endometrium - 7005	
GSM76633	GSM76633	Ovary - 7008	
GSM76634	GSM76634	Corpus Uteri - 7230	
GSM76635	GSM76635	Endometrium - 7231	
GSM76636	GSM76636	Omentum - 7232	
GSM76637	GSM76637	Breast - 7233	
GSM76638	GSM76638	Endometrium - 78397	
GSM76639	GSM76639	Colon - 78403	
GSM76640	GSM76640	Prostate - 8050	
GSM76641	GSM76641	Retroperitoneum - 8051	
GSM76642	GSM76642	Soft Tissue Abdominal Wall - 8057	
GSM76643	GSM76643	Lymph node - 8058	
GSM76644	GSM76644	Liver - 8059	
GSM76645	GSM76645	Omentum - 8060	
GSM76646	GSM76646	Omentum - 8061	
GSM76647	GSM76647	Lung - 8067	
GSM76648	GSM76648	Prostate - 89224	
GSM76649	GSM76649	Endometrium - 89227	
GSM88945	GSM88945	Colon - 1007	
GSM88946	GSM88946	Liver - 1010	
GSM88947	GSM88947	Kidney - 101103	
GSM88948	GSM88948	L pelvic sidewall - 101104	
GSM88949	GSM88949	Lung - 101106	
GSM88950	GSM88950	Lung - 101107	
GSM88951	GSM88951	Retroperitoneal Mass - 101108	
GSM88952	GSM88952	Endometrium - 101110	
GSM88953	GSM88953	Lung - 101111	
GSM88954	GSM88954	Supraclavicular Lymph Node - 101112	
GSM88955	GSM88955	Lung - 101113	
GSM88956	GSM88956	Ovary - 101120	
GSM88957	GSM88957	Omentum - 101122	
GSM88958	GSM88958	Retroperitoneal Mass - 101125	
GSM88959	GSM88959	Lung - 101138	
GSM88960	GSM88960	Breast - 101139	
GSM88961	GSM88961	Renal Pelvis - 101140	
GSM88962	GSM88962	Lung - 101142	
GSM88963	GSM88963	Colon - 101185	
GSM88964	GSM88964	Kidney - 101187	
GSM88965	GSM88965	Colon - 101190	
GSM88966	GSM88966	Endometrium - 101194	
GSM88967	GSM88967	L axillary lymph node - 1012	
GSM88968	GSM88968	Colon - 1021	
GSM88969	GSM88969	Breast - 1024	
GSM88970	GSM88970	Breast - 104437	
GSM88971	GSM88971	Breast - 1047	
GSM88972	GSM88972	Parietal Pleura - 112863	
GSM88973	GSM88973	Ovary - 112866	
GSM88974	GSM88974	Ovary - 112867	
GSM88975	GSM88975	Uterus - 112869	
GSM88976	GSM88976	Rectum - 1291	
GSM88977	GSM88977	Prostate - 1295	
GSM88978	GSM88978	Endometrium - 1301	
GSM88979	GSM88979	Breast - 1305	
GSM88980	GSM88980	Breast - 20271	
GSM88981	GSM88981	Lung - 20272	
GSM88982	GSM88982	Rectum - 20279	
GSM88983	GSM88983	Lung - 20283	
GSM88984	GSM88984	Ovary - 20285	
GSM88985	GSM88985	Breast - 20298	
GSM88986	GSM88986	Breast - 20314	
GSM88987	GSM88987	Kidney - 20450	
GSM88988	GSM88988	Breast - 20458	
GSM88989	GSM88989	Kidney - 20461	
GSM88990	GSM88990	Breast - 21631	
GSM88991	GSM88991	Breast - 21636	
GSM88992	GSM88992	Ovary - 21981	
GSM88993	GSM88993	Bladder - 2315	
GSM88994	GSM88994	Colon - 2318	
GSM88995	GSM88995	Kidney - 2325	
GSM88996	GSM88996	Breast - 2327	
GSM88997	GSM88997	Lung - 31579	
GSM88998	GSM88998	Thyroid - 31583	
GSM88999	GSM88999	Colon - 31587	
GSM89000	GSM89000	Breast - 31592	
GSM89001	GSM89001	Ovary - 33797	
GSM89002	GSM89002	Colon - 34380	
GSM89003	GSM89003	Breast - 36312	
GSM89004	GSM89004	Colon - 36315	
GSM89005	GSM89005	Breast - 36321	
GSM89006	GSM89006	Breast - 36323	
GSM89007	GSM89007	Colon - 36324	
GSM89008	GSM89008	Breast - 36325	
GSM89009	GSM89009	Breast - 36329	
GSM89010	GSM89010	Breast - 38218	
GSM89011	GSM89011	Breast - 4193	
GSM89012	GSM89012	Ovary - 4200	
GSM89013	GSM89013	Rectum - 4210	
GSM89014	GSM89014	Breast - 4211	
GSM89015	GSM89015	Breast - 4212	
GSM89016	GSM89016	Breast - 4225	
GSM89017	GSM89017	Prostate - 4330	
GSM89018	GSM89018	Breast - 4331	
GSM89019	GSM89019	Breast - 4334	
GSM89020	GSM89020	Ovary - 4338	
GSM89021	GSM89021	Breast - 4340	
GSM89022	GSM89022	Breast - 45121	
GSM89023	GSM89023	Breast - 45122	
GSM89024	GSM89024	Ovary - 45123	
GSM89025	GSM89025	Ovary - 45126	
GSM89026	GSM89026	Colon - 45129	
GSM89027	GSM89027	Iliac bone & soft tissue - 53953	
GSM89028	GSM89028	Omentum or Pelvic Mass - 53958	
GSM89029	GSM89029	Kidney - 53961	
GSM89030	GSM89030	Liver - 54073	
GSM89031	GSM89031	Stomach - 54074	
GSM89032	GSM89032	Thyroid - 54075	
GSM89033	GSM89033	R chest wall mass - 54076	
GSM89034	GSM89034	Endometrium - 55695	
GSM89035	GSM89035	Abdominal-pelvic mass - 58993	
GSM89036	GSM89036	Ovary - 58994	
GSM89037	GSM89037	Colon - 58996	
GSM89038	GSM89038	Thyroid - 58997	
GSM89039	GSM89039	Small intestine - 58998	
GSM89040	GSM89040	Colon - 59005	
GSM89041	GSM89041	Parotid Gland - 59006	
GSM89042	GSM89042	Endocervix - 59007	
GSM89043	GSM89043	Thyroid - 59008	
GSM89044	GSM89044	Colon - 59009	
GSM89045	GSM89045	Pancreas - 6210	
GSM89046	GSM89046	Lung - 6308	
GSM89047	GSM89047	Colon - 6897	
GSM89048	GSM89048	Urinary Bladder - 6992	
GSM89049	GSM89049	Colon - 6994	
GSM89050	GSM89050	Cervix - 6996	
GSM89051	GSM89051	Pelvic Mass - 6998	
GSM89052	GSM89052	Colon - 6999	
GSM89053	GSM89053	Colon - 7003	
GSM89054	GSM89054	Liver - 7006	
GSM89055	GSM89055	Breast - 77736	
GSM89056	GSM89056	Dermal and subcutaneous fat and lymph nodes from neck dissection - 78390	
GSM89057	GSM89057	Ovary - 78391	
GSM89058	GSM89058	Kidney - 78392	
GSM89059	GSM89059	Testis - 78394	
GSM89060	GSM89060	Lung - 78395	
GSM89061	GSM89061	Colon - 78398	
GSM89062	GSM89062	Colon - 78400	
GSM89063	GSM89063	Kidney - 78404	
GSM89064	GSM89064	Kidney - 78405	
GSM89065	GSM89065	Kidney - 78406	
GSM89066	GSM89066	Kidney - 78409	
GSM89067	GSM89067	Kidney - 8043	
GSM89068	GSM89068	Breast - 8044	
GSM89069	GSM89069	Colon - 8046	
GSM89070	GSM89070	Ovary - 8047	
GSM89071	GSM89071	Breast - 8049	
GSM89072	GSM89072	Lung - 8068	
GSM89073	GSM89073	Urinary Bladder - 84152	
GSM89074	GSM89074	Rectum - 84157	
GSM89075	GSM89075	Rectosigmoid Colon - 84168	
GSM89076	GSM89076	Endometrium - 84175	
GSM89077	GSM89077	Breast - 84183	
GSM89078	GSM89078	Kidney - 84190	
GSM89079	GSM89079	Ovary - 89114	
GSM89080	GSM89080	Exocrine Pancreas - 89115	
GSM89081	GSM89081	Ovary - 89116	
GSM89082	GSM89082	Ovary - 89117	
GSM89083	GSM89083	Vaginal mass - 89119	
GSM89084	GSM89084	Soft Tissue Rt Knee - 89152	
GSM89085	GSM89085	Corpus Uteri - 89153	
GSM89086	GSM89086	Kidney - 89154	
GSM89087	GSM89087	Endometrium - 89155	
GSM89088	GSM89088	Soft Tissue Lt Thigh - 89170	
GSM89089	GSM89089	Endometrium - 89171	
GSM89090	GSM89090	Colon - 89184	
GSM89091	GSM89091	Ovary - 89185	
GSM89092	GSM89092	Vulvar lesion - 89186	
GSM89093	GSM89093	Ovary - 89191	
GSM89094	GSM89094	Rectum - 89225	
GSM89095	GSM89095	Rectum - 89228	
GSM89096	GSM89096	Rectum - 89229	
GSM89097	GSM89097	Ovary or Omentum - 89230	
GSM89098	GSM89098	Colon - 89232	
GSM89099	GSM89099	Kidney - 89233	
GSM89100	GSM89100	Rectosigmoid - 89234	
GSM89101	GSM89101	Lung - 89240	
GSM89102	GSM89102	Breast - 89263	
GSM89103	GSM89103	Colon - 95093	
GSM89104	GSM89104	Kidney - 95096	
GSM102424	GSM102424	Thyroid - 101092	
GSM102425	GSM102425	Endometrium - 101093	
GSM102426	GSM102426	Ovary - 101094	
GSM102427	GSM102427	Soft Tissue L Thigh - 101095	
GSM102428	GSM102428	Kidney - 101096	
GSM102429	GSM102429	Colon - 101097	
GSM102430	GSM102430	Uterus - 101099	
GSM102431	GSM102431	Colon - 101116	
GSM102432	GSM102432	Kidney - 101119	
GSM102433	GSM102433	Kidney - 101126	
GSM102434	GSM102434	Bladder - 101127	
GSM102435	GSM102435	Prostate - 101128	
GSM102436	GSM102436	Colon - 101129	
GSM102437	GSM102437	Bladder - 101130	
GSM102438	GSM102438	Kidney - 101133	
GSM102439	GSM102439	Breast - 101135	
GSM102440	GSM102440	Breast - 101141	
GSM102441	GSM102441	Breast - 101145	
GSM102442	GSM102442	Transverse colon nodule - 101146	
GSM102443	GSM102443	Kidney - 101147	
GSM102444	GSM102444	Endometrium - 101148	
GSM102445	GSM102445	Ovary - 101150	
GSM102446	GSM102446	Omentum - 101151	
GSM102447	GSM102447	Lung - 101178	
GSM102448	GSM102448	Renal Pelvis - 101179	
GSM102449	GSM102449	Lung - 101182	
GSM102450	GSM102450	Lung - 101183	
GSM102451	GSM102451	Lung - 101184	
GSM102452	GSM102452	Thyroid - 101186	
GSM102453	GSM102453	Rectum - 101188	
GSM102454	GSM102454	Uterus - 101191	
GSM102455	GSM102455	Lung - 101192	
GSM102456	GSM102456	Kidney - 101193	
GSM102457	GSM102457	Axillary lymph node - 104341	
GSM102458	GSM102458	Kidney - 104344	
GSM102459	GSM102459	Kidney - 104345	
GSM102460	GSM102460	Colon - 104346	
GSM102461	GSM102461	Kidney - 104347	
GSM102462	GSM102462	Rectosigmoid - 104350	
GSM102463	GSM102463	Kidney - 104352	
GSM102464	GSM102464	Kidney - 104354	
GSM102465	GSM102465	Kidney - 104355	
GSM102466	GSM102466	Cervical Lymph Node - 104366	
GSM102467	GSM102467	Breast dermal mass - 104367	
GSM102468	GSM102468	Breast - 104438	
GSM102469	GSM102469	Endometrium - 111073	
GSM102470	GSM102470	Urinary Bladder - 111075	
GSM102471	GSM102471	Kidney - 112884	
GSM102472	GSM102472	Colon - 118653	
GSM102473	GSM102473	Peritoneum - 118655	
GSM102474	GSM102474	Small Intestine - 118658	
GSM102475	GSM102475	Urinary Bladder - 118659	
GSM102476	GSM102476	Cervix - 118660	
GSM102477	GSM102477	Kidney - 118661	
GSM102478	GSM102478	Ovary - 118662	
GSM102479	GSM102479	Rectosigmoid - 118663	
GSM102480	GSM102480	Abdominal Wall - 118664	
GSM102481	GSM102481	Cervix - 118666	
GSM102482	GSM102482	Breast - 118668	
GSM102483	GSM102483	Ovary - 118671	
GSM102484	GSM102484	Small Intestine - 118672	
GSM102485	GSM102485	Colon - 118673	
GSM102486	GSM102486	Rectum - 127821	
GSM102487	GSM102487	Breast - 127822	
GSM102488	GSM102488	Uterus - 129650	
GSM102489	GSM102489	Omentum - 129651	
GSM102490	GSM102490	Kidney - 129652	
GSM102491	GSM102491	Omentum - 129653	
GSM102492	GSM102492	Endometrium - 129656	
GSM102493	GSM102493	Colon - 129658	
GSM102494	GSM102494	Abdominal wall mass - 129659	
GSM102495	GSM102495	Stomach - 129661	
GSM102496	GSM102496	Soft Tissue of Leg - 129662	
GSM102497	GSM102497	Colon - 129690	
GSM102498	GSM102498	Prostate - 129691	
GSM102499	GSM102499	Breast - 129692	
GSM102500	GSM102500	Kidney - 129694	
GSM102501	GSM102501	Colon - 129700	
GSM102502	GSM102502	Breast - 129702	
GSM102503	GSM102503	Liver - 129708	
GSM102504	GSM102504	Omentum - 129709	
GSM102505	GSM102505	Lung - 132229	
GSM102506	GSM102506	Breast - 133638	
GSM102507	GSM102507	Lung - 136910	
GSM102508	GSM102508	Rib - 136912	
GSM102509	GSM102509	Uterus - 136913	
GSM102510	GSM102510	Prostate - 136915	
GSM102511	GSM102511	Small intestine - 136917	
GSM102512	GSM102512	Lung - 136919	
GSM102513	GSM102513	Colon - 138195	
GSM102514	GSM102514	Lymph node R neck - 138196	
GSM102515	GSM102515	Kidney and Ureter - 138197	
GSM102516	GSM102516	Colon - 138198	
GSM102517	GSM102517	Rectosigmoid - 138200	
GSM102518	GSM102518	Colon - 138410	
GSM102519	GSM102519	Colon - 138411	
GSM102520	GSM102520	Kidney - 138414	
GSM102521	GSM102521	Colon - 144545	
GSM102522	GSM102522	Kidney - 149050	
GSM102523	GSM102523	Breast - 149054	
GSM102524	GSM102524	Colon - 149055	
GSM102525	GSM102525	Breast - 149057	
GSM102526	GSM102526	Breast - 151146	
GSM102527	GSM102527	Cervix - 151624	
GSM102528	GSM102528	Omentum - 151628	
GSM102529	GSM102529	Kidney - 152473	
GSM102530	GSM102530	Breast - 152477	
GSM102531	GSM102531	Liver - 152480	
GSM102532	GSM102532	Soft Tissue Thigh - 157425	
GSM102533	GSM102533	Colon - 161432	
GSM102534	GSM102534	Breast - 161433	
GSM102535	GSM102535	Rectosigmoid - 161438	
GSM102536	GSM102536	Breast - 161439	
GSM102537	GSM102537	Kidney - 161463	
GSM102538	GSM102538	Ovary - 161465	
GSM102539	GSM102539	Rectosigmoid - 161466	
GSM102540	GSM102540	Colon - 161480	
GSM102541	GSM102541	Esophagus - 180954	
GSM102542	GSM102542	Kidney - 180956	
GSM102543	GSM102543	Esophagus - 180958	
GSM102544	GSM102544	Breast - 180960	
GSM102545	GSM102545	Breast - 182732	
GSM102546	GSM102546	Ovary - 20329	
GSM102547	GSM102547	Transverse colon nodule - 20457	
GSM102548	GSM102548	Lung - 21976	
GSM102549	GSM102549	Colon - 2320	
GSM102550	GSM102550	Colon - 23942	
GSM102551	GSM102551	Colon - 36322	
GSM102552	GSM102552	Ovary - 4445	
GSM102553	GSM102553	Lung - 4453	
GSM102554	GSM102554	Kidney - 45120	
GSM102555	GSM102555	Lung - 54079	
GSM102556	GSM102556	Lung - 6310	
GSM102557	GSM102557	Ovary - 6314	
GSM102558	GSM102558	Tongue - 77734	
GSM102559	GSM102559	Colon - 78396	
GSM102560	GSM102560	Thyroid - 78399	
GSM102561	GSM102561	Colon - 78401	
GSM102562	GSM102562	Kidney - 78402	
GSM102563	GSM102563	Breast - 78407	
GSM102564	GSM102564	Breast - 8032	
GSM102565	GSM102565	Kidney - 8066	
GSM102566	GSM102566	Breast - 84136	
GSM102567	GSM102567	Breast - 84138	
GSM102568	GSM102568	Colon - 84140	
GSM102569	GSM102569	Breast - 84141	
GSM102570	GSM102570	Kidney - 84142	
GSM102571	GSM102571	Breast - 84144	
GSM102572	GSM102572	Colon - 84147	
GSM102573	GSM102573	Breast - 84148	
GSM102574	GSM102574	Colon - 84150	
GSM102575	GSM102575	Kidney - 84153	
GSM102576	GSM102576	Breast - 84154	
GSM102577	GSM102577	Colon - 84158	
GSM102578	GSM102578	Kidney - 84159	
GSM102579	GSM102579	Colon - 84162	
GSM102580	GSM102580	Breast - 84174	
GSM102581	GSM102581	Colon - 84191	
GSM102582	GSM102582	Kidney - 89226	
GSM102583	GSM102583	Breast - 89267	
GSM117576	GSM117576	Cervix Uteri - 101086	
GSM117577	GSM117577	Rectum - 104340	
GSM117578	GSM117578	Breast - 104351	
GSM117579	GSM117579	Endometrium - 112870	
GSM117580	GSM117580	Breast - 112875	
GSM117581	GSM117581	Breast - 112876	
GSM117582	GSM117582	Endometrium - 129673	
GSM117583	GSM117583	Fallopian tube - 129674	
GSM117584	GSM117584	Breast - 129693	
GSM117585	GSM117585	Breast - 129701	
GSM117586	GSM117586	Endometrium - 133632	
GSM117587	GSM117587	Brain - 133635	
GSM117588	GSM117588	Breast - 133647	
GSM117589	GSM117589	Endometrium - 133648	
GSM117590	GSM117590	Endometrium - 133649	
GSM117591	GSM117591	Soft Tissue of Retroperitoneum - 133650	
GSM117592	GSM117592	Omentum - 133672	
GSM117600	GSM117600	Endometrium - 133677	
GSM117610	GSM117610	Lung - 133683	
GSM117626	GSM117626	Cervix - 135187	
GSM117629	GSM117629	Lung - 138193	
GSM117632	GSM117632	Lung - 138204	
GSM117635	GSM117635	Colon - 143650	
GSM117639	GSM117639	Breast - 143654	
GSM117642	GSM117642	Colon - 143655	
GSM117643	GSM117643	Endometrium - 143657	
GSM117644	GSM117644	Kidney - 143658	
GSM117645	GSM117645	Pancreas - 143659	
GSM117646	GSM117646	Thyroid - 143660	
GSM117647	GSM117647	Pancreas - 143661	
GSM117648	GSM117648	Omentum - 143662	
GSM117649	GSM117649	Colon - 143664	
GSM117650	GSM117650	Endometrium - 143666	
GSM117651	GSM117651	Soft Tissue Left Buttock - 143668	
GSM117652	GSM117652	Rectosigmoid - 144558	
GSM117653	GSM117653	Kidney - 144572	
GSM117655	GSM117655	Kidney - 144574	
GSM117656	GSM117656	Colon - 144575	
GSM117657	GSM117657	Liver - 144576	
GSM117658	GSM117658	Kidney - 144577	
GSM117659	GSM117659	Breast - 149051	
GSM117660	GSM117660	Breast - 149056	
GSM117661	GSM117661	Breast - 151602	
GSM117662	GSM117662	Colon - 151604	
GSM117663	GSM117663	Omentum - 151605	
GSM117664	GSM117664	Colon - 151606	
GSM117665	GSM117665	Soft Tissue Left Buttock - 151611	
GSM117666	GSM117666	Myometrium - 151612	
GSM117667	GSM117667	Endometrium - 151613	
GSM117668	GSM117668	Ovary - 151614	
GSM117669	GSM117669	Vulva - 151619	
GSM117670	GSM117670	Ovary - 151622	
GSM117671	GSM117671	Lung - 151623	
GSM117672	GSM117672	Colon - 151627	
GSM117673	GSM117673	Colon - 152474	
GSM117674	GSM117674	Kidney - 152479	
GSM117675	GSM117675	Breast - 152481	
GSM117676	GSM117676	Colon - 152482	
GSM117677	GSM117677	Urinary Bladder - 152484	
GSM117678	GSM117678	Colon - 152485	
GSM117679	GSM117679	Kidney - 152486	
GSM117680	GSM117680	Kidney - 152487	
GSM117681	GSM117681	Colon - 152488	
GSM117682	GSM117682	Kidney - 152489	
GSM117683	GSM117683	Rectum - 152490	
GSM117684	GSM117684	Rectosigmoid - 152491	
GSM117685	GSM117685	Breast - 161430	
GSM117686	GSM117686	Breast - 161435	
GSM117687	GSM117687	Breast - 161462	
GSM117688	GSM117688	Axillary Lymph Node - 161469	
GSM117689	GSM117689	Lung - 161511	
GSM117690	GSM117690	Branchial Cleft Cyst - 161512	
GSM117691	GSM117691	Endometrium - 161513	
GSM117692	GSM117692	Breast - 161516	
GSM117693	GSM117693	Parametrial Implant - 161518	
GSM117694	GSM117694	Kidney - 161520	
GSM117695	GSM117695	Breast - 161521	
GSM117696	GSM117696	Ovary - 161524	
GSM117697	GSM117697	Endometrium - 161527	
GSM117698	GSM117698	Omentum - 161529	
GSM117699	GSM117699	Rectosigmoid - 170822	
GSM117700	GSM117700	Kidney - 170823	
GSM117701	GSM117701	Small Intestine - 170824	
GSM117702	GSM117702	Rectosigmoid - 170825	
GSM117703	GSM117703	Endometrium - 170829	
GSM117704	GSM117704	Endometrium - 170830	
GSM117705	GSM117705	Thyroid - 170831	
GSM117706	GSM117706	Kidney - 174050	
GSM117707	GSM117707	Rectum - 174051	
GSM117708	GSM117708	Endometrium - 174052	
GSM117709	GSM117709	Colon - 174054	
GSM117710	GSM117710	Rectum - 174057	
GSM117711	GSM117711	Kidney - 174058	
GSM117712	GSM117712	Endometrium - 174059	
GSM117713	GSM117713	Renal pelvis - 174062	
GSM117714	GSM117714	Lung - 174063	
GSM117715	GSM117715	Kidney - 174064	
GSM117716	GSM117716	Ovary - 174931	
GSM117717	GSM117717	Omentum - 174934	
GSM117718	GSM117718	Ovary - 174936	
GSM117719	GSM117719	Breast - 174937	
GSM117720	GSM117720	Colon - 174938	
GSM117721	GSM117721	Kidney - 174939	
GSM117722	GSM117722	Endometrium - 174940	
GSM117723	GSM117723	Thyroid - 174942	
GSM117724	GSM117724	Endometrium - 174943	
GSM117725	GSM117725	Kidney - 174944	
GSM117726	GSM117726	Prostate - 178552	
GSM117727	GSM117727	Prostate - 178554	
GSM117728	GSM117728	Colon - 178555	
GSM117729	GSM117729	Endometrium - 180948	
GSM117730	GSM117730	Breast - 180955	
GSM117731	GSM117731	Lung - 182730	
GSM117732	GSM117732	Soft Tissue of thigh - 184811	
GSM117734	GSM117734	Rectosigmoid - 184813	
GSM117735	GSM117735	Thyroid - 184814	
GSM117736	GSM117736	Retroperitoneal Mass - 184818	
GSM117737	GSM117737	Endometrium - 184819	
GSM117738	GSM117738	Colon - 184820	
GSM117739	GSM117739	Endometrium - 184821	
GSM117740	GSM117740	Spleen - 184824	
GSM117741	GSM117741	Prostate - 184830	
GSM117742	GSM117742	Colon - 184833	
GSM117743	GSM117743	Kidney - 184834	
GSM117744	GSM117744	Ovary - 184837	
GSM117745	GSM117745	Breast - 184839	
GSM117746	GSM117746	Colon - 184841	
GSM117747	GSM117747	Colon - 184842	
GSM117748	GSM117748	Lung - 184852	
GSM117749	GSM117749	Kidney - 184857	
GSM117750	GSM117750	Kidney - 184858	
GSM117751	GSM117751	Kidney - 184862	
GSM117752	GSM117752	Colon - 184863	
GSM117753	GSM117753	Kidney - 184864	
GSM117754	GSM117754	Adrenal Gland - 184865	
GSM117755	GSM117755	Small Intestine - 184867	
GSM117756	GSM117756	Lung - 184869	
GSM117757	GSM117757	Lung - 187212	
GSM117758	GSM117758	Breast - 187213	
GSM117759	GSM117759	Breast - 187214	
GSM117760	GSM117760	Colon - 187215	
GSM117761	GSM117761	Breast - 187217	
GSM117762	GSM117762	Exocrine Pancreas - 187233	
GSM117763	GSM117763	Lung - 187235	
GSM117765	GSM117765	Lymph node - 20277	
GSM117766	GSM117766	Breast - 21775	
GSM117767	GSM117767	Endometrium - 21786	
GSM117768	GSM117768	Omentum - 21787	
GSM117769	GSM117769	Brain - 21797	
GSM117770	GSM117770	Lung - 21802	
GSM117771	GSM117771	Axillary Lymph Node - 21970	
GSM117772	GSM117772	Lung - 4446	
GSM117774	GSM117774	Kidney - 8030	
GSM117775	GSM117775	Colon - 8031	
GSM117776	GSM117776	Uterus - 84145	
GSM117777	GSM117777	Breast - 84189	
GSM137895	GSM137895	Breast - 112874	
GSM137896	GSM137896	Breast - 112877	
GSM137897	GSM137897	Liver - 127823	
GSM137898	GSM137898	Breast - 127825	
GSM137899	GSM137899	Peritoneum - 127829	
GSM137900	GSM137900	Breast - 127837	
GSM137901	GSM137901	Thyroid - 127838	
GSM137902	GSM137902	Perihepatic adipose tissue - 133630	
GSM137903	GSM137903	Breast - 133640	
GSM137904	GSM137904	Ovary - 133643	
GSM137905	GSM137905	Ovary - 133651	
GSM137906	GSM137906	Uterus - 133656	
GSM137907	GSM137907	Uterus - 133666	
GSM137908	GSM137908	Uterus - 143656	
GSM137909	GSM137909	Liver - 154211	
GSM137910	GSM137910	Lung - 154213	
GSM137911	GSM137911	Uterus - 154215	
GSM137912	GSM137912	Lung - 154216	
GSM137913	GSM137913	Uterus - 154219	
GSM137914	GSM137914	Uterus - 1641	
GSM137915	GSM137915	Omentum - 170804	
GSM137916	GSM137916	Lung - 170806	
GSM137917	GSM137917	Ovary - 170809	
GSM137918	GSM137918	Endometrium - 170811	
GSM137919	GSM137919	Urinary bladder - 170827	
GSM137920	GSM137920	Pelvic tumor - 170828	
GSM137921	GSM137921	Liver - 174056	
GSM137922	GSM137922	Colon - 174060	
GSM137923	GSM137923	Omentum - 177890	
GSM137924	GSM137924	Breast - 177892	
GSM137925	GSM137925	Breast - 177893	
GSM137926	GSM137926	Colon - 177894	
GSM137927	GSM137927	Uterus - 177895	
GSM137928	GSM137928	Kidney - 177896	
GSM137929	GSM137929	Colon - 178556	
GSM137930	GSM137930	Soft tissue of R thigh - 180934	
GSM137931	GSM137931	Lung - 181030	
GSM137932	GSM137932	Esophagus - 181035	
GSM137933	GSM137933	Liver - 184826	
GSM137934	GSM137934	Kidney - 184832	
GSM137935	GSM137935	Liver - 184838	
